pid,sawa2,line,offwrist,activity,marker,whitelight,redlight,greenlight,bluelight,wake,interval,starth,day,dayofweek,validday,time
29915385,1,87,0,38,0,279.08,23,25.7,3.14,1,ACTIVE,0,0,3,0,11:27:00
29915385,1,88,0,4,0,304.59,25.1,28,3.65,1,ACTIVE,0,0,3,0,11:27:30
29915385,1,89,0,18,0,318.08,26.2,29.2,3.81,1,ACTIVE,0,0,3,0,11:28:00
29915385,1,90,0,9,0,184.37,9.07,18.1,4.95,1,ACTIVE,0,0,3,0,11:28:30
29915385,1,91,0,63,0,86.29,7.8,7.8,0.704,1,ACTIVE,0,0,3,0,11:29:00
29915385,1,92,0,153,0,161,12.6,14.6,4.84,1,ACTIVE,0,0,3,0,11:29:30
29915385,1,93,0,378,0,348.26,19.4,33.3,12.8,1,ACTIVE,0,0,3,0,11:30:00
29915385,1,94,0,281,0,1021.3,41.3,100,46.1,1,ACTIVE,0,0,3,0,11:30:30
29915385,1,95,0,79,0,122.65,7.63,11.5,4.54,1,ACTIVE,0,0,3,0,11:31:00
29915385,1,96,0,128,0,0.46,0.107,0.0251,0,1,ACTIVE,0,0,3,0,11:31:30
29915385,1,97,0,16,0,119.79,8.32,11,4.44,1,ACTIVE,0,0,3,0,11:32:00
29915385,1,98,0,28,0,127.51,8.88,11.8,4.44,1,ACTIVE,0,0,3,0,11:32:30
29915385,1,99,0,189,0,577.81,33.3,54.8,22.5,1,ACTIVE,0,0,3,0,11:33:00
29915385,1,100,0,246,0,390.25,24,37.1,11.3,1,ACTIVE,0,0,3,0,11:33:30
29915385,1,101,0,573,0,173.4,15.9,15.3,4.16,1,ACTIVE,0,0,3,0,11:34:00
29915385,1,102,0,238,0,362.99,38.7,30.5,9.27,1,ACTIVE,0,0,3,0,11:34:30
29915385,1,103,0,238,0,7425.48,411,706,310,1,ACTIVE,0,0,3,0,11:35:00
29915385,1,104,0,238,0,7312.91,420,691,310,1,ACTIVE,0,0,3,0,11:35:30
29915385,1,105,0,281,0,3762.04,188,361,173,1,ACTIVE,0,0,3,0,11:36:00
29915385,1,106,0,390,0,404.09,18.9,39.6,14.3,1,ACTIVE,0,0,3,0,11:36:30
29915385,1,107,0,331,0,775.52,43.2,74.2,28,1,ACTIVE,0,0,3,0,11:37:00
29915385,1,108,0,272,0,488.05,130,8.32,117,1,ACTIVE,0,0,3,0,11:37:30
29915385,1,109,0,272,0,29293.73,1210,2880,1240,1,ACTIVE,0,0,3,0,11:38:00
29915385,1,110,0,354,0,6977.66,532,633,234,1,ACTIVE,0,0,3,0,11:38:30
29915385,1,111,0,272,0,16785.25,753,1640,676,1,ACTIVE,0,0,3,0,11:39:00
29915385,1,112,0,128,0,4267.42,261,402,158,1,ACTIVE,0,0,3,0,11:39:30
29915385,1,113,0,231,0,3828.26,214,368,117,1,ACTIVE,0,0,3,0,11:40:00
29915385,1,114,0,195,0,6193.86,331,593,244,1,ACTIVE,0,0,3,0,11:40:30
29915385,1,115,0,66,0,10992.01,532,1060,448,1,ACTIVE,0,0,3,0,11:41:00
29915385,1,116,0,85,0,9245.16,499,876,429,1,ACTIVE,0,0,3,0,11:41:30
29915385,1,117,0,68,0,22032.09,956,2180,786,1,ACTIVE,0,0,3,0,11:42:00
29915385,1,118,0,104,0,14039.26,633,1380,499,1,ACTIVE,0,0,3,0,11:42:30
29915385,1,119,0,33,0,18398.05,839,1790,786,1,ACTIVE,0,0,3,0,11:43:00
29915385,1,120,0,202,0,15808.04,706,1540,706,1,ACTIVE,0,0,3,0,11:43:30
29915385,1,121,0,46,0,16340.75,661,1610,737,1,ACTIVE,0,0,3,0,11:44:00
29915385,1,122,0,56,0,4895.92,249,468,229,1,ACTIVE,0,0,3,0,11:44:30
29915385,1,123,0,153,0,9803.42,544,935,377,1,ACTIVE,0,0,3,0,11:45:00
