time,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,pid,pitch,roll,yaw
2020-Jan-01 13:28:05,0.0,0.0,0.0,0.0,73.2,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:10,0.0,0.0,0.0,0.0,71.5,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:15,0.0,0.0,0.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:20,0.0,0.0,0.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:25,0.0,0.0,0.0,0.0,66.8,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:30,0.0,0.0,0.0,0.0,67.6,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:35,0.0,0.0,0.0,0.0,65.8,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:40,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:45,0.0,0.0,0.0,0.0,65.375,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:50,0.0,0.0,0.0,0.0,65.75,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:28:55,67.8,18.2,69.8,0.2,74.4,0.2,0.6,0.2,0.0,99.668,2,43.22611017721126,43.22611017721126,43.22611017721126
2020-Jan-01 13:29:00,0.0,0.0,0.0,0.0,89.8,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:29:05,18.4,4.4,0.0,0.2,90.0,0.4,0.6,0.0,0.0,20.094,2,76.55138494831348,76.55138494831348,76.55138494831348
2020-Jan-01 13:29:10,54.0,8.4,19.4,0.4,81.0,0.0,1.0,0.0,0.0,59.742,2,68.62013299801491,68.62013299801491,68.62013299801491
2020-Jan-01 13:29:15,25.0,2.0,11.666666666666666,0.0,77.0,0.0,0.3333333333333333,0.6666666666666666,0.0,27.69333333333333,2,64.66365447392597,64.66365447392597,64.66365447392597
2020-Jan-01 13:29:20,0.0,0.0,0.0,0.0,78.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:29:25,20.2,7.0,21.2,0.6,77.2,0.0,0.4,0.6,0.0,31.21,2,42.13829179134813,42.13829179134813,42.13829179134813
2020-Jan-01 13:29:30,3.0,14.2,22.8,0.2,75.8,0.0,0.2,0.8,0.0,29.639999999999997,2,6.372877611794009,6.372877611794009,6.372877611794009
2020-Jan-01 13:29:35,0.0,1.8,0.6,0.0,77.6,0.0,0.0,1.0,0.0,1.8980000000000001,2,0.0,0.0,0.0
2020-Jan-01 13:29:40,17.0,22.0,29.2,0.2,77.0,0.0,0.4,0.6,0.0,42.404,2,24.937859788369117,24.937859788369117,24.937859788369117
2020-Jan-01 13:29:45,131.2,118.4,73.8,0.2,80.8,0.0,1.0,0.0,0.0,198.32,2,43.24030078005293,43.24030078005293,43.24030078005293
2020-Jan-01 13:29:50,33.0,56.0,0.0,0.0,78.0,0.0,1.0,0.0,0.0,65.0,2,30.510237406115554,30.510237406115554,30.510237406115554
2020-Jan-01 13:29:55,9.333333333333334,19.0,35.0,0.0,79.66666666666667,0.0,0.3333333333333333,0.6666666666666666,0.0,43.419999999999995,2,13.18984572687766,13.18984572687766,13.18984572687766
2020-Jan-01 13:30:00,0.0,8.4,2.6,0.0,79.2,0.0,0.0,1.0,0.0,8.818000000000001,2,0.0,0.0,0.0
2020-Jan-01 13:30:05,0.0,0.0,0.0,0.0,75.2,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:30:10,0.0,0.0,0.0,0.0,75.4,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:30:15,0.0,0.0,0.0,0.0,74.4,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:30:20,1.25,6.25,5.5,0.25,71.5,0.0,0.0,1.0,0.0,8.4175,2,8.538761825538225,8.538761825538225,8.538761825538225
2020-Jan-01 13:30:25,0.625,3.125,2.75,0.125,72.65,0.0,0.0,1.0,0.0,4.20875,2,8.538761825538225,8.538761825538225,8.538761825538225
2020-Jan-01 13:30:30,0.0,0.0,0.0,0.0,73.8,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:30:35,0.0,0.0,0.0,0.0,77.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:30:40,6.2,12.8,5.8,0.2,76.0,0.0,0.2,0.8,0.0,15.36,2,23.806810187111125,23.806810187111125,23.806810187111125
2020-Jan-01 13:30:45,18.8,15.8,28.4,0.2,77.2,0.0,0.8,0.2,0.0,38.2,2,30.048318096449254,30.048318096449254,30.048318096449254
2020-Jan-01 13:30:50,52.2,22.8,29.8,0.4,77.8,0.0,0.6,0.4,0.0,65.87,2,54.291154064975174,54.291154064975174,54.291154064975174
2020-Jan-01 13:30:55,0.0,0.0,0.0,0.0,75.5,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:31:00,14.5,24.0,20.5,0.0,75.0,0.0,0.5,0.0,0.5,34.735,2,24.67369203637968,24.67369203637968,24.67369203637968
2020-Jan-01 13:31:05,1.8,5.4,0.0,0.0,80.6,0.0,0.2,0.2,0.6,5.692,2,18.43494882292201,18.43494882292201,18.43494882292201
2020-Jan-01 13:31:10,0.0,0.0,0.0,0.0,79.4,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:31:15,59.6,28.0,85.4,0.4,80.2,0.0,0.8,0.0,0.2,113.582,2,33.55066034864057,33.55066034864057,33.55066034864057
2020-Jan-01 13:31:20,13.8,7.2,6.4,0.0,73.4,0.0,0.4,0.0,0.6,17.503999999999998,2,55.082514631732835,55.082514631732835,55.082514631732835
2020-Jan-01 13:31:25,2.8,0.0,0.0,0.0,70.6,0.0,0.2,0.0,0.8,2.8,2,90.0,90.0,90.0
2020-Jan-01 13:31:30,1.4,0.0,0.0,0.0,72.05,0.0,0.1,0.0,0.9,1.4,2,90.0,90.0,90.0
2020-Jan-01 13:31:35,0.0,0.0,0.0,0.0,73.5,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:31:40,0.0,0.0,0.0,0.0,72.2,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:31:45,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:31:50,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:31:55,87.6,20.2,52.4,0.2,69.6,0.0,0.6,0.0,0.4,104.40799999999999,2,57.33683551360605,57.33683551360605,57.33683551360605
2020-Jan-01 13:32:00,19.0,0.0,9.333333333333334,0.0,70.0,0.0,0.3333333333333333,0.0,0.6666666666666666,21.24,2,63.838433557980764,63.838433557980764,63.838433557980764
2020-Jan-01 13:32:05,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:32:10,0.0,0.0,0.0,0.0,71.2,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:32:15,0.0,0.0,0.0,0.0,70.6,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:32:20,21.8,7.6,10.2,0.0,68.4,0.0,0.2,0.0,0.8,25.240000000000002,2,59.73690338452851,59.73690338452851,59.73690338452851
2020-Jan-01 13:32:25,37.4,19.2,24.6,0.2,69.0,0.0,0.4,0.6,0.0,49.032,2,50.15909434638775,50.15909434638775,50.15909434638775
2020-Jan-01 13:32:30,0.0,0.2,0.0,0.0,71.6,0.0,0.0,1.0,0.0,0.2,2,0.0,0.0,0.0
2020-Jan-01 13:32:35,10.0,40.0,41.0,0.0,74.0,0.0,1.0,0.0,0.0,58.15,2,9.902948228222238,9.902948228222238,9.902948228222238
2020-Jan-01 13:32:40,6.666666666666666,26.666666666666664,28.555555555555557,0.0,76.66666666666667,0.0,0.6666666666666667,0.3333333333333333,0.0,39.98888888888889,2,9.68313626744665,9.68313626744665,9.68313626744665
2020-Jan-01 13:32:45,3.333333333333333,13.333333333333332,16.11111111111111,0.0,79.33333333333333,0.0,0.33333333333333337,0.6666666666666666,0.0,21.827777777777776,2,9.056303411315264,9.056303411315264,9.056303411315264
2020-Jan-01 13:32:50,0.0,0.0,3.6666666666666665,0.0,82.0,0.0,0.0,1.0,0.0,3.6666666666666665,2,0.0,0.0,0.0
2020-Jan-01 13:32:55,0.0,0.0,0.0,0.0,82.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:33:00,0.0,0.0,2.8,0.0,166.2,0.0,0.0,1.0,0.0,2.8,2,0.0,0.0,0.0
2020-Jan-01 13:33:05,0.0,0.0,0.0,0.0,183.6,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:33:10,0.0,1.2,0.8,0.0,158.4,0.0,0.0,1.0,0.0,1.442,2,0.0,0.0,0.0
2020-Jan-01 13:33:15,0.0,0.0,0.0,0.0,150.75,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:33:20,0.0,0.0,0.0,0.0,147.875,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:33:25,0.0,0.0,0.0,0.0,145.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:33:30,0.0,0.0,0.0,0.0,138.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:33:35,0.0,0.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:33:40,0.0,0.0,1.4,0.0,131.2,0.0,0.0,1.0,0.0,1.4,2,0.0,0.0,0.0
2020-Jan-01 13:33:45,15.6,18.4,7.2,0.0,138.4,0.0,0.6,0.4,0.0,27.736,2,38.29221872421445,38.29221872421445,38.29221872421445
2020-Jan-01 13:33:50,29.0,46.0,44.5,0.5,146.0,0.0,1.0,0.0,0.0,74.465,2,24.375811307158557,24.375811307158557,24.375811307158557
2020-Jan-01 13:33:55,3.0,0.0,4.5,0.0,81.0,0.0,0.0,0.0,1.0,5.41,2,33.690067525979785,33.690067525979785,33.690067525979785
2020-Jan-01 13:34:00,0.0,0.0,0.0,0.0,78.4,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:34:05,0.0,0.0,0.0,0.0,76.6,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:34:10,0.0,0.0,0.0,0.0,73.6,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:34:15,3.4,0.0,0.0,0.2,74.6,0.0,0.2,0.0,0.8,3.4,2,90.0,90.0,90.0
2020-Jan-01 13:34:20,0.0,0.0,0.0,0.0,73.8,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:34:25,2.375,0.0,0.0,0.0,75.025,0.0,0.125,0.0,0.875,2.375,2,90.0,90.0,90.0
2020-Jan-01 13:34:30,4.75,0.0,0.0,0.0,76.25,0.0,0.25,0.0,0.75,4.75,2,90.0,90.0,90.0
2020-Jan-01 13:34:35,3.0,0.6,4.6,0.2,80.6,0.0,0.2,0.0,0.8,7.496,2,32.89058409375896,32.89058409375896,32.89058409375896
2020-Jan-01 13:34:40,6.4,2.2,3.8,0.4,80.2,0.0,0.2,0.0,0.8,8.924000000000001,2,55.54683575133529,55.54683575133529,55.54683575133529
2020-Jan-01 13:34:45,6.8,0.0,1.4,0.2,79.2,0.0,0.2,0.0,0.8,8.2,2,78.36636600105956,78.36636600105956,78.36636600105956
2020-Jan-01 13:34:50,1.8,0.0,0.0,0.2,76.8,0.0,0.2,0.0,0.8,1.8,2,90.0,90.0,90.0
2020-Jan-01 13:34:55,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:35:00,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:35:05,0.0,0.0,0.0,0.0,79.6,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:35:10,16.4,18.0,9.4,0.6,79.0,0.0,0.8,0.0,0.2,30.381999999999994,2,38.92494061895406,38.92494061895406,38.92494061895406
2020-Jan-01 13:35:15,33.0,39.6,8.8,0.8,80.4,0.0,1.0,0.0,0.0,54.02,2,39.127982490947595,39.127982490947595,39.127982490947595
2020-Jan-01 13:35:20,50.2,81.0,20.2,1.0,82.0,0.0,1.0,0.0,0.0,99.592,2,31.02001002465401,31.02001002465401,31.02001002465401
2020-Jan-01 13:35:25,15.8,12.4,11.8,0.4,83.4,0.0,0.4,0.0,0.6,24.578,2,42.70842884279761,42.70842884279761,42.70842884279761
2020-Jan-01 13:35:30,28.0,4.0,5.0,1.0,85.0,0.0,1.0,0.0,0.0,28.72,2,77.1189229508658,77.1189229508658,77.1189229508658
2020-Jan-01 13:35:35,0.0,0.0,0.0,0.0,80.66666666666667,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:35:40,1.0,0.0,3.4,0.2,77.2,0.0,0.0,0.0,1.0,3.5439999999999996,2,16.389540334034784,16.389540334034784,16.389540334034784
